"Health Center Name","City","State","Total Patients","Children (< 18 years old)","Adult (18 - 64)","Older Adults (age 65 and over)","Racial and/or Ethnic Minority","Hispanic/Latino Ethnicity","Black/African American","Asian","American Indian/Alaska Native","Native Hawaiian / Other Pacific Islander","More than one race","Best Served in another language","year","category","Patients at or below 200% of poverty","Patients at or below 100% of poverty","Uninsured","Medicaid/CHIP","Medicare","Other Third Party","Hypertension","Diabetes","Asthma","HIV","Prenatal Patients","Prenatal Patients who Delivered","Access to Prenatal Care (First Prenatal Visit in 1st Trimester)","Low Birth Weight","Cervical Cancer Screening","Adolescent Weight Screening and Follow Up","Adult Weight Screening and Follow Up","Adults Screened for Tobacco Use and Receiving Cessation Intervention","Colorectal Cancer Screening","Childhood Immunization","Depression Screening","Dental Sealants","Asthma Treatment (Appropriate Treatment Plan)","Statin Therapy for the Prevention and Treatment of Cardiovascular Disease","Heart Attack/Stroke Treatment (Aspirin Therapy for Ischemic Vascular Disease Patients)","Blood Pressure Control (Hypertensive Patients with Blood Pressure < 140/90)","Uncontrolled Diabetes > 9%","HIV Linkage to Care","Breast Cancer Screening","Depression Remission","HIV Screening","Health Center Service Grant Expenditures","Total Cost","Total Cost Per Patient","Medical","Dental","Mental Health","Substance Abuse","Vision","Enabling"
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN","7231","0.24768358456645","0.641681648458028","0.110634766975522","0.789620699794178","0.044874551971326","0.7256861575179","0.016557279236277","0.010292362768496","0.000894988066826","0.002983293556086","0.473516802655234","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN","3775","0.242913907284768","0.694304635761589","0.062781456953642","0.800698361536395","0.73650454302512","0.039942425332854","0.011874775098957","0.021230658510256","0","0.075566750629723","0.545165562913907","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN","13332","0.168391839183918","0.54980498049805","0.281803180318032","0.060824185711715","0.006910426871938","0.008741888968998","0.002253064167267","0.031362653208363","0","0.013248017303533","0.129387938793879","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN","4031","0.16348300669809","0.789878442073927","0.046638551227983","0.761809045226131","0.056769655865361","0.607688256977357","0.012111637704055","0.10637177461822","0.002106371774618","0.020537124802528","0.031753907219052","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN","28376","0.314808288694672","0.601177051029039","0.08401466027629","0.937043364472393","0.296136091018138","0.519153739713058","0.116925205738839","0.006481683781225","0.000801106984196","0.000291311630617","0.346278545249507","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN","4200","0.259285714285714","0.671904761904762","0.068809523809524","0.902817574021012","0.250834525512637","0.13746115228305","0.012192206550323","0.504900788907483","0","0.039923499880469","0.124047619047619","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN","9981","0.228133453561767","0.658451057008316","0.113415489429917","0.163809717009839","0.02429718875502","0.052015472312704","0.009873778501629","0.031555374592834","0.000508957654723","0.053949511400652","0.026049494038674","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN","4474","0.238265534197586","0.698256593652213","0.063477872150201","0.873859489051095","0.121349332125877","0.13296011196641","0.012362957779333","0.595754606951248","0.006997900629811","0.111266620013996","0.028609745194457","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN","8202","0.28334552548159","0.65764447695684","0.05900999756157","0.707808905129246","0.280717841236573","0.401534126487163","0.035378835316218","0.038196618659988","0.002661239824671","0.055886036318096","0.198244330651061","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN","8505","0.170958259847149","0.70299823633157","0.126043503821282","0.780797101449275","0.087261053553188","0.577746956387733","0.112652180613346","0.010633379565418","0.007705347511173","0.013407304669441","0.161081716637272","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
